time,P,G(i),H_sun,T2m,WS10m,Int
2025-01-01 00:30:00,0.0,0.0,0.0,2.59,5.31,0.0
2025-01-01 01:30:00,0.0,0.0,0.0,2.75,5.38,0.0
2025-01-01 02:30:00,0.0,0.0,0.0,3.07,5.24,0.0
2025-01-01 03:30:00,0.0,0.0,0.0,3.33,5.45,0.0
2025-01-01 04:30:00,0.0,0.0,0.0,3.75,5.59,0.0
2025-01-01 05:30:00,0.0,0.0,0.0,4.03,5.66,0.0
2025-01-01 06:30:00,0.0,0.0,0.0,4.17,5.72,0.0
2025-01-01 07:30:00,0.0,0.0,-1.87,4.27,5.79,0.0
2025-01-01 08:30:00,196395.6,138.48,3.92,4.27,5.86,0.0
2025-01-01 09:30:00,521129.1,329.28,8.2,4.59,6.07,0.0
2025-01-01 10:30:00,688080.0,429.27,10.67,5.07,5.72,0.0
2025-01-01 11:30:00,716628.0,446.35,11.13,5.34,6.14,0.0
2025-01-01 12:30:00,590028.6,371.29,9.54,5.42,5.59,0.0
2025-01-01 13:30:00,371361.9,242.71,6.03,5.39,6.0,0.0
2025-01-01 14:30:00,347.7,6.06,0.87,5.17,5.66,0.0
2025-01-01 15:30:00,0.0,0.0,0.0,4.62,5.31,0.0
2025-01-01 16:30:00,0.0,0.0,0.0,4.62,5.17,0.0
2025-01-01 17:30:00,0.0,0.0,0.0,4.4,5.17,0.0
2025-01-01 18:30:00,0.0,0.0,0.0,4.22,5.17,0.0
2025-01-01 19:30:00,0.0,0.0,0.0,3.73,4.83,0.0
2025-01-01 20:30:00,0.0,0.0,0.0,3.25,4.41,0.0
2025-01-01 21:30:00,0.0,0.0,0.0,2.42,4.55,0.0
2025-01-01 22:30:00,0.0,0.0,0.0,2.0,4.14,0.0
2025-01-01 23:30:00,0.0,0.0,0.0,1.49,4.14,0.0
2025-01-02 00:30:00,0.0,0.0,0.0,1.46,4.28,0.0
2025-01-02 01:30:00,0.0,0.0,0.0,1.43,4.83,0.0
2025-01-02 02:30:00,0.0,0.0,0.0,1.43,4.97,0.0
2025-01-02 03:30:00,0.0,0.0,0.0,1.59,4.76,0.0
2025-01-02 04:30:00,0.0,0.0,0.0,1.73,4.69,0.0
2025-01-02 05:30:00,0.0,0.0,0.0,1.73,4.97,0.0
2025-01-02 06:30:00,0.0,0.0,0.0,1.95,5.17,0.0
2025-01-02 07:30:00,0.0,0.0,-1.84,1.97,5.17,0.0
2025-01-02 08:30:00,13285.8,18.62,3.96,1.92,5.24,0.0
2025-01-02 09:30:00,74718.9,61.18,8.26,2.1,5.59,0.0
2025-01-02 10:30:00,177510.0,123.78,10.74,2.25,5.24,0.0
2025-01-02 11:30:00,194071.5,133.71,11.22,2.59,5.1,0.0
2025-01-02 12:30:00,156190.5,111.3,9.64,2.59,4.97,0.0
2025-01-02 13:30:00,83118.6,66.69,6.14,2.52,4.9,0.0
2025-01-02 14:30:00,0.0,5.52,0.99,2.3,5.1,0.0
2025-01-02 15:30:00,0.0,0.0,0.0,2.05,4.97,0.0
2025-01-02 16:30:00,0.0,0.0,0.0,1.94,4.97,0.0
2025-01-02 17:30:00,0.0,0.0,0.0,2.03,5.24,0.0
2025-01-02 18:30:00,0.0,0.0,0.0,1.96,5.93,0.0
2025-01-02 19:30:00,0.0,0.0,0.0,1.69,6.48,0.0
2025-01-02 20:30:00,0.0,0.0,0.0,1.63,6.48,0.0
2025-01-02 21:30:00,0.0,0.0,0.0,1.73,6.69,0.0
2025-01-02 22:30:00,0.0,0.0,0.0,2.29,7.03,0.0
2025-01-02 23:30:00,0.0,0.0,0.0,2.72,7.38,0.0
2025-01-03 00:30:00,0.0,0.0,0.0,3.1,7.24,0.0
2025-01-03 01:30:00,0.0,0.0,0.0,3.48,7.38,0.0
2025-01-03 02:30:00,0.0,0.0,0.0,3.76,7.45,0.0
2025-01-03 03:30:00,0.0,0.0,0.0,4.07,7.93,0.0
2025-01-03 04:30:00,0.0,0.0,0.0,4.4,8.34,0.0
2025-01-03 05:30:00,0.0,0.0,0.0,4.86,8.41,0.0
2025-01-03 06:30:00,0.0,0.0,0.0,5.01,8.55,0.0
2025-01-03 07:30:00,0.0,0.0,-1.8,5.14,8.55,0.0
2025-01-03 08:30:00,0.0,4.3,4.01,5.38,8.28,0.0
2025-01-03 09:30:00,4154.1,10.55,8.32,5.7,7.93,0.0
2025-01-03 10:30:00,13889.7,19.39,10.82,6.25,6.9,0.0
2025-01-03 11:30:00,12096.3,17.93,11.31,6.79,6.83,0.0
2025-01-03 12:30:00,2324.1,8.61,9.75,7.03,6.28,0.0
2025-01-03 13:30:00,0.0,3.74,6.26,6.89,5.52,0.0
2025-01-03 14:30:00,0.0,4.3,1.12,6.47,5.31,0.0
2025-01-03 15:30:00,0.0,0.0,0.0,5.66,4.55,0.0
2025-01-03 16:30:00,0.0,0.0,0.0,5.32,4.62,0.0
2025-01-03 17:30:00,0.0,0.0,0.0,5.05,4.9,0.0
2025-01-03 18:30:00,0.0,0.0,0.0,4.54,5.52,0.0
2025-01-03 19:30:00,0.0,0.0,0.0,4.48,5.93,0.0
2025-01-03 20:30:00,0.0,0.0,0.0,4.64,6.41,0.0
2025-01-03 21:30:00,0.0,0.0,0.0,4.39,6.9,0.0
2025-01-03 22:30:00,0.0,0.0,0.0,4.36,6.9,0.0
2025-01-03 23:30:00,0.0,0.0,0.0,4.58,7.86,0.0
2025-01-04 00:30:00,0.0,0.0,0.0,4.74,8.62,0.0
